X,Y,_id,timestamp,media_id,location_i,lat,lng,likes_coun,attributio,tags,comments_c,comments_d,imageURL,date_time,weekday,day_of_mon,hour,minute,tags_str,comment_1,food_ltl_1
355482.31376323394943,583635.959370726952329,ObjectId(56cf7f5e8f9cc01d24c440af),1455544935,1185519298738684419_7528103,1027463180.000000000000000,41.921823699999997,-87.664470600000001,73,,[],0,[],https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12750065_547022848796752_1612235304_n.jpg?ig_cache_key=MTE4NTUxOTI5ODczODY4NDQxOQ%3D%3D.2.l,2016-02-15 09:02:15,0,15,9,2,"""""",,"""food, dish, vegetable, kebab, imam bay\u0131ld\u0131, ingredient"""
353733.023665293469094,588209.455452177557163,ObjectId(56cf7f728f9cc01d24c440b8),1456289846,1191768068768192072_2375316332,418120107.000000000000000,41.963118887000000,-87.685140809000004,28,,"[""churchstreet"",""craftbeerporn"",""gideonwells"",""craftbeer"",""drinkbeer"",""drinkchicago"",""thealdermanreport"",""macandcheese"",""instabeer"",""drinking"",""ridetherail"",""beerstagram"",""craftnotcrap"",""chicago"",""aquanaut"",""pub"",""foundry"",""chicagobars"",""drinklocal"",""bee",0,[],https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12728411_703827873053711_1546730783_n.jpg?ig_cache_key=MTE5MTc2ODA2ODc2ODE5MjA3Mg%3D%3D.2,2016-02-23 23:57:26,1,23,23,57,"""churchstreet, craftbeerporn, gideonwells, craftbeer, drinkbeer, drinkchicago, thealdermanreport, macandcheese, instabeer, drinking, ridetherail, beerstagram, craftnotcrap, chicago, aquanaut, pub, foundry, chicagobars, drinklocal, beer, aroundthebend, bl",,"""meal, dish, food, khinkali, breakfast, dessert, restaurant, brunch, buffet, snack food"""
353733.023665293469094,588209.455452177557163,ObjectId(56cf7f728f9cc01d24c440ba),1456102737,1190198488966633170_227846028,418120107.000000000000000,41.963118887000000,-87.685140809000004,9,,"[""burger"",""dinnerdate"",""sogood""]",0,[],https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12751548_778561392288123_1432346510_n.jpg?ig_cache_key=MTE5MDE5ODQ4ODk2NjYzMzE3MA%3D%3D.2.l,2016-02-21 19:58:57,6,21,19,58,"""burger, dinnerdate, sogood""",,"""meal, dish, food, cheeseburger, breakfast sandwich, sloppy joe, breakfast, tavern, hamburger, brunch"""
352056.329457518993877,586138.883759641088545,ObjectId(56cf7f848f9cc01d24c440c3),1455850996,1188086726733186436_224079720,2260840.000000000000000,41.944590310000002,-87.705548883999995,15,,"[""irish"",""foodie"",""chicago"",""food"",""foodporn"",""feast"",""datenight"",""guinness"",""foodslut"",""imissengland"",""meatloaf"",""powers""]",4,"[{""created_time"":""1455851170"",""text"":""Congratulations! Excited for your new adventure!"",""from"":{""username"":""michie_baby"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/10725187_870748386299331_1802024317_a.jpg"",""id"":""873626788"",""full_na",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12729625_1804165246477412_1345662648_n.jpg?ig_cache_key=MTE4ODA4NjcyNjczMzE4NjQzNg%3D%3D.2,2016-02-18 22:03:16,3,18,22,3,"""irish, foodie, chicago, food, foodporn, feast, datenight, guinness, foodslut, imissengland, meatloaf, powers""",,"""meal, food, dish, tavern, dinner, brunch, restaurant, breakfast, ingredient, vegetable"""
358808.023629320785403,581031.956017491407692,ObjectId(56cf7f858f9cc01d24c440d0),1455484351,1185011085501823207_1205893869,212927009.000000000000000,41.898139999999998,-87.624639999999999,18,,"[""valentinesday"",""chocolatefondue"",""workflow""]",1,"[{""created_time"":""1455486559"",""text"":""@shanegabler aww so cute if I wasn't on vaca I would totally be there! 😍"",""from"":{""username"":""smokingstiletto"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/s150x150/11849405_967138443309127_187",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12716488_1706920179551655_1798336566_n.jpg?ig_cache_key=MTE4NTAxMTA4NTUwMTgyMzIwNw%3D%3D.2,2016-02-14 16:12:31,6,14,16,12,"""valentinesday, chocolatefondue, workflow""",,"""meze, meal, brunch, food, dish, antipasto, breakfast, dinner, restaurant, buffet"""
331389.663764706230722,623297.68043073057197,ObjectId(56cf811017acf00001325e16),1455745265,1187199796072228025_177509936,1028273370.000000000000000,42.280220000000000,-87.952780000000004,5,,[],0,[],https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/12716950_577032929113024_912114859_n.jpg?ig_cache_key=MTE4NzE5OTc5NjA3MjIyODAyNQ%3D%3D.2,2016-02-17 16:41:05,2,17,16,41,"""""",,"""food, brioche, dish, finger, hand, human body, ingredient, jaw"""
341109.415490372572094,589054.880252519389614,ObjectId(56cf8118c915f800012f4a22),1455889410,1188408967900924066_185462017,10994652.000000000000000,41.971488999999998,-87.837356600000007,7,,[],0,[],https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12747765_828431653949220_794449854_n.jpg?ig_cache_key=MTE4ODQwODk2NzkwMDkyNDA2Ng%3D%3D.2,2016-02-19 08:43:30,4,19,8,43,"""""",,"""meal, dish, brunch, food, antipasto, breakfast, lunch, dinner, restaurant"""
341109.415490372572094,589054.880252519389614,ObjectId(56cf8118c915f800012f4a23),1455644502,1186354527965528680_2263426007,10994652.000000000000000,41.971488999999998,-87.837356600000007,22,,"[""parkridge"",""diner"",""chicago"",""pancakes"",""breakfastofchampions"",""realtorlife"",""dailygrind"",""hashbrowns"",""breakfast"",""lovewhatido""]",1,"[{""created_time"":""1455941721"",""text"":""Nice account! 👌"",""from"":{""username"":""aakashsins"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/s150x150/11266652_1016055461737830_211884379_a.jpg"",""id"":""215039609"",""full_name"":""Sky""},""id"":""11888",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12729446_170219393355709_745900611_n.jpg?ig_cache_key=MTE4NjM1NDUyNzk2NTUyODY4MA%3D%3D.2.l,2016-02-16 12:41:42,1,16,12,41,"""parkridge, diner, chicago, pancakes, breakfastofchampions, realtorlife, dailygrind, hashbrowns, breakfast, lovewhatido""",,"""meal, dish, food, brunch, breakfast, lunch"""
353435.511328139575198,588728.885062425164506,ObjectId(56cf811e17acf00001325e17),1456201756,1191029116946606783_892039089,518559317.000000000000000,41.967815399999999,-87.688682400000005,5,,[],2,"[{""created_time"":""1456247622"",""text"":""Coming to us soon!!!😎"",""from"":{""username"":""maryanndools"",""profile_picture"":""https://scontent.cdninstagram.com/t51.2885-19/11906329_960233084022564_1448528159_a.jpg"",""id"":""2256742454"",""full_name"":""Mary Ann Dooley""}",https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12728539_742076125922540_644061971_n.jpg?ig_cache_key=MTE5MTAyOTExNjk0NjYwNjc4Mw%3D%3D.2,2016-02-22 23:29:16,0,22,23,29,"""""",,"""food, dish, vegetable, zucchini, flower, salad, meal, seafood, ingredient, leaf vegetable"""
312262.068827278038952,566467.480851136962883,ObjectId(56cf811f8f9cc01d24c440ff),1456020376,1189507589740381416_14086744,234574825.000000000000000,41.769100199999997,-88.185859699999995,9,,"[""naperville""]",0,[],https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12747831_1099324986778981_1330319250_n.jpg?ig_cache_key=MTE4OTUwNzU4OTc0MDM4MTQxNg%3D%3D.2,2016-02-20 21:06:16,5,20,21,6,"""naperville""",,"""dish, food, meal, fast food restaurant, breakfast, bratwurst, restaurant, kebab, grilling, dim sum food"""
